"Dev_MaxLS";"CWM_MaxLS";"Aridity";"Woody";"Grazing";"Lattitude";"Long_cos";"Long_sin";"Elevation";"MAT";"Site_ID"
"\"1\"";-0.020740415835004;7.91706317162837;0.8319;0.0498;3;35.26746;-0.996622057438885;-0.0821247503879507;850;15.5;"\"1\""
"\"2\"";0.297790957083355;9.72549443848789;0.8339;0.0203;2;35.26817;-0.995755596025024;-0.092036910991459;858;15.4;"\"1\""
"\"3\"";0.240493535250207;9.47629802572713;0.8339;0.0254;1;35.26881;-0.995206014429383;-0.0978007609560567;870;15.4;"\"1\""
"\"4\"";0.11314382518311;10.2689266725826;0.8535;1;3;34.93256;-0.995856660935899;0.0909368509989313;863;15.7;"\"2\""
"\"5\"";0.219877639460763;10.8696014570315;0.8538;0.9175;2;34.93281;-0.996601881662024;0.0823692264605693;863;15.6;"\"2\""
"\"6\"";0.119925160360914;11.4753945572798;0.8541;0.9461;1;34.93471;-0.997116983569635;0.0758796486351442;864;15.7;"\"2\""
"\"7\"";0.0959228091745481;9.09187686244342;0.709;0.4646;3;-41.04097;0.196791851687089;-0.980445290217443;1077;8;"\"3\""
"\"8\"";0.0456096868742681;8.82102724730073;0.6982;0.3651;2;-41.03246;0.161563444096943;-0.986862327547026;1073;8.1;"\"3\""
"\"9\"";0.0328305241927579;8.30514438924762;0.709;0.2746;0;-41.03991;0.195369999637053;-0.980729607609466;1076;8;"\"3\""
"\"10\"";0.032137951526386;9.12999187820942;0.4868;0.7822;3;-41.0138;-0.352232392934603;-0.935912571433659;1099;7.6;"\"4\""
"\"11\"";0.0111706630478087;8.55848674608359;0.4852;0.194;2;-41.02781;-0.351015409298109;-0.936369682569486;1069;7.8;"\"4\""
"\"12\"";0.168824853431306;8.61163966035476;0.4977;0.0038;1;-41.00444;-0.364471586249012;-0.931214509561105;1127;7.5;"\"4\""
"\"13\"";0.0406384025183505;6.32840184589608;0.7888;0.0968;3;-51.49186;0.976227679521562;-0.21674758991958;117;7.2;"\"5\""
"\"14\"";0.0189557874228794;6.73677514417716;0.7859;0.1194;2;-51.49207;0.979050474869686;-0.20361769976464;123;7.1;"\"5\""
