"pval";"q2";"q1";"q3";"q1_90";"q3_90";"With_cover";"Grazing_intensity";"ID_grazing";"Stat";"Driver"
"1";0;-0.190068369422694;-0.281696802691986;-0.0957701116820986;-0.264560019437199;-0.109025591408944;FALSE;"binary";"grazed";"perim_area_scaling";"Grazing"
"2";0.022;0.0358270793541142;0.00435079667085061;0.0678253759948418;0.00879234251303935;0.0621752537537663;FALSE;"binary";"all";"perim_area_scaling";"Aridity"
"3";0.596;0.0231358830736524;-0.0643988653926679;0.116529136661259;-0.0485627248854357;0.100286044031152;FALSE;"binary";"grazed";"fmax_psd";"Grazing"
"4";0;-0.107636035798136;-0.134822893382635;-0.0810881564232643;-0.131254743232671;-0.0849794314027421;FALSE;"binary";"all";"fmax_psd";"Aridity"
"5";0.048;0.144580676303;0.00189082551876716;0.279205668904668;0.0180036810674654;0.258987995920797;FALSE;"binary";"grazed";"PL_expo";"Grazing"
"6";0;-0.211124898609125;-0.252495259909419;-0.173509666633766;-0.245616503905157;-0.177549879959236;FALSE;"binary";"all";"PL_expo";"Aridity"
"7";0;0.0935898536350902;0.0615262138424838;0.125260398468187;0.0659955076202219;0.121287224312733;FALSE;"binary";"grazed";"core_area_land";"Grazing"
"8";0;0.0315921823476088;0.0214467949946512;0.0414462810739106;0.0230210817339239;0.0400629777155832;FALSE;"binary";"all";"core_area_land";"Aridity"
"9";0.196;0.0624421040907267;-0.0292102845434155;0.158178155142907;-0.0159956566160959;0.145568318610576;FALSE;"binary";"grazed";"core_area";"Grazing"
"10";0.104;0.0287259895818191;-0.00561329957160637;0.0647279113831691;-5.99343923541917e-05;0.0583191915435175;FALSE;"binary";"all";"core_area";"Aridity"
"11";0;-0.190677656125668;-0.272816078809473;-0.118212431938732;-0.26155586099554;-0.129054841041334;FALSE;"binary";"grazed";"Small_patches";"Grazing"
"12";0;-0.140156567646176;-0.170269846220261;-0.110642368064074;-0.166416291728678;-0.116314211026154;FALSE;"binary";"all";"Small_patches";"Aridity"
"13";0;0.149442682436001;0.0904267480564172;0.211012165823229;0.0971195267761967;0.201430022283188;FALSE;"binary";"grazed";"flow_length";"Grazing"
"14";0;-0.0594127189978688;-0.0793757027023761;-0.041196770512851;-0.0764936097240702;-0.0446399841127897;FALSE;"binary";"all";"flow_length";"Aridity"
"15";0.002;0.0789516909060076;0.0320855622778592;0.125107895193641;0.0391260207937193;0.116088099551716;FALSE;"binary";"grazed";"mean_psd";"Grazing"
"16";0;-0.0835902071891944;-0.105085629770354;-0.0628987478376347;-0.101731703691671;-0.0665502054365018;FALSE;"binary";"all";"mean_psd";"Aridity"
"17";0;0.031519343326291;0.0154096111437211;0.0485896626693038;0.0177093627995077;0.0451392225328358;FALSE;"binary";"grazed";"moran_I";"Grazing"
