"g0";"b";"Branch";"Cover"
"1";0;1;"Restoration";0.737
"2";0;1;"Degradation";0.737
"3";0;0.979591836734694;"Restoration";0.73
"4";0;0.979591836734694;"Degradation";0.73
"5";0;0.959183673469388;"Restoration";0.722
"6";0;0.959183673469388;"Degradation";0.722
"7";0;0.938775510204082;"Restoration";0.715
"8";0;0.938775510204082;"Degradation";0.715
"9";0;0.918367346938775;"Restoration";0.707
"10";0;0.918367346938775;"Degradation";0.707
"11";0;0.897959183673469;"Restoration";0.698
"12";0;0.897959183673469;"Degradation";0.698
"13";0;0.877551020408163;"Restoration";0.689
"14";0;0.877551020408163;"Degradation";0.689
"15";0;0.857142857142857;"Restoration";0.679
"16";0;0.857142857142857;"Degradation";0.679
"17";0;0.836734693877551;"Restoration";0.669
"18";0;0.836734693877551;"Degradation";0.669
"19";0;0.816326530612245;"Restoration";0.658
"20";0;0.816326530612245;"Degradation";0.658
"21";0;0.795918367346939;"Restoration";0.647
"22";0;0.795918367346939;"Degradation";0.647
"23";0;0.775510204081633;"Restoration";0.635
"24";0;0.775510204081633;"Degradation";0.635
"25";0;0.755102040816326;"Restoration";0.621
"26";0;0.755102040816326;"Degradation";0.621
"27";0;0.73469387755102;"Restoration";0.607
"28";0;0.73469387755102;"Degradation";0.607
"29";0;0.714285714285714;"Restoration";0.592
"30";0;0.714285714285714;"Degradation";0.592
"31";0;0.693877551020408;"Restoration";0.576
"32";0;0.693877551020408;"Degradation";0.576
"33";0;0.673469387755102;"Restoration";0.558
"34";0;0.673469387755102;"Degradation";0.558
"35";0;0.653061224489796;"Restoration";0.539
"36";0;0.653061224489796;"Degradation";0.539
"37";0;0.63265306122449;"Restoration";0.519
"38";0;0.63265306122449;"Degradation";0.519
"39";0;0.612244897959184;"Restoration";0.496
"40";0;0.612244897959184;"Degradation";0.496
"41";0;0.591836734693878;"Restoration";0.471
"42";0;0.591836734693878;"Degradation";0.471
"43";0;0.571428571428571;"Restoration";0.443
"44";0;0.571428571428571;"Degradation";0.443
"45";0;0.551020408163265;"Restoration";0.411
"46";0;0.551020408163265;"Degradation";0.411
"47";0;0.530612244897959;"Restoration";0.374
"48";0;0.530612244897959;"Degradation";0.374
"49";0;0.510204081632653;"Restoration";0.329
"50";0;0.510204081632653;"Degradation";0.329
"51";0;0.489795918367347;"Restoration";0
"52";0;0.489795918367347;"Degradation";0.27
"53";0;0.469387755102041;"Restoration";0
"54";0;0.469387755102041;"Degradation";0.096
"55";0;0.448979591836735;"Restoration";0
"56";0;0.448979591836735;"Degradation";0
"57";0;0.428571428571429;"Restoration";0
"58";0.285714285714286;0;"Degradation";0
"59";0;0.408163265306122;"Restoration";0
"60";0.295918367346939;0;"Degradation";0
"61";0;0.387755102040816;"Restoration";0
"62";0.306122448979592;0;"Degradation";0
"63";0;0.36734693877551;"Restoration";0
"64";0.316326530612245;0;"Degradation";0
"65";0;0.346938775510204;"Restoration";0
"66";0.326530612244898;0;"Degradation";0
"67";0;0.326530612244898;"Restoration";0
"68";0.336734693877551;0;"Degradation";0
"69";0;0.306122448979592;"Restoration";0
"70";0.346938775510204;0;"Degradation";0
"71";0;0.285714285714286;"Restoration";0
"72";0.357142857142857;0;"Degradation";0
"73";0;0.26530612244898;"Restoration";0
"74";0.36734693877551;0;"Degradation";0
"75";0;0.244897959183673;"Restoration";0
"76";0.377551020408163;0;"Degradation";0
"77";0;0.224489795918367;"Restoration";0
"78";0.387755102040816;0;"Degradation";0
"79";0;0.204081632653061;"Restoration";0
"80";0.397959183673469;0;"Degradation";0
"81";0;0.183673469387755;"Restoration";0
"82";0.408163265306122;0;"Degradation";0
"83";0;0.163265306122449;"Restoration";0
"84";0.418367346938775;0;"Degradation";0
"85";0;0.142857142857143;"Restoration";0
"86";0.428571428571429;0;"Degradation";0
"87";0;0.122448979591837;"Restoration";0
"88";0.438775510204082;0;"Degradation";0
"89";0;0.102040816326531;"Restoration";0
"90";0.448979591836735;0;"Degradation";0
"91";0;0.0816326530612245;"Restoration";0
"92";0.459183673469388;0;"Degradation";0
"93";0;0.0612244897959184;"Restoration";0
"94";0.469387755102041;0;"Degradation";0
"95";0;0.0408163265306122;"Restoration";0
"96";0.479591836734694;0;"Degradation";0
"97";0;0.0204081632653061;"Restoration";0
"98";0.489795918367347;0;"Degradation";0
"99";0;0;"Restoration";0
"100";0.5;0;"Degradation";0
"110";0.00612244897959184;1;"Restoration";0.742
"210";0.00612244897959184;1;"Degradation";0.742
"310";0.00612244897959184;0.979591836734694;"Restoration";0.735
"410";0.00612244897959184;0.979591836734694;"Degradation";0.735
"510";0.00612244897959184;0.959183673469388;"Restoration";0.728
"610";0.00612244897959184;0.959183673469388;"Degradation";0.728
"710";0.00612244897959184;0.938775510204082;"Restoration";0.72
"810";0.00612244897959184;0.938775510204082;"Degradation";0.72
"910";0.00612244897959184;0.918367346938775;"Restoration";0.712
"101";0.00612244897959184;0.918367346938775;"Degradation";0.712
"111";0.00612244897959184;0.897959183673469;"Restoration";0.704
"121";0.00612244897959184;0.897959183673469;"Degradation";0.704
"131";0.00612244897959184;0.877551020408163;"Restoration";0.695
"141";0.00612244897959184;0.877551020408163;"Degradation";0.695
"151";0.00612244897959184;0.857142857142857;"Restoration";0.685
"161";0.00612244897959184;0.857142857142857;"Degradation";0.685
"171";0.00612244897959184;0.836734693877551;"Restoration";0.675
"181";0.00612244897959184;0.836734693877551;"Degradation";0.675
"191";0.00612244897959184;0.816326530612245;"Restoration";0.664
